timestamp,title,price,original_price,discount_pct,promo_tag,link
2025-12-05T20:13:30,"Npk Muñeca Bebé De Silicona 48cm, Suaves Muñecas Niña Reborn",758.0,1645.0,53,⏰ Oferta del Día,https://mercadolibre.com/sec/23w7vdx
2025-12-05T20:13:45,"Npk Muñeca Bebé De Silicona 48cm, Suaves Muñecas Niña Reborn",758.0,1645.0,53,⏰ Oferta del Día,https://mercadolibre.com/sec/23w7vdx
2025-12-05T20:13:55,Scooter Eléctrico E2 Para Niños 15km/h 60-90 Honey Whale Minutos De Uso Luz Led Multicolor Color Verde Musgo Honeywhale Patin Electrico Niños Y Niñas,2399.0,3570.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1kTL6Df
2025-12-05T20:13:58,Scooter Eléctrico E2 Para Niños 15km/h 60-90 Honey Whale Minutos De Uso Luz Led Multicolor Color Verde Musgo Honeywhale Patin Electrico Niños Y Niñas,2399.0,3570.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1kTL6Df
2025-12-05T20:14:39,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:14:40,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:14:40,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:14:46,Bicicleta Para Niña Bicicleta Infantil Pale Rosa R16 Color Rose Tamaño Del Cuadro 16,1959.0,2886.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1VpYZE5
2025-12-05T20:14:46,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:14:49,Bicicleta Para Niña Bicicleta Infantil Pale Rosa R16 Color Rose Tamaño Del Cuadro 16,1959.0,2886.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1VpYZE5
2025-12-05T20:14:54,Bicicleta Para Niña Bicicleta Infantil Pale Rosa R16 Color Rose Tamaño Del Cuadro 16,1959.0,2886.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1VpYZE5
2025-12-05T20:15:00,Bicicleta Para Niña Bicicleta Infantil Pale Rosa R16 Color Rose Tamaño Del Cuadro 16,1959.0,2886.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1VpYZE5
2025-12-05T20:15:03,Bicicleta Para Niña Bicicleta Infantil Pale Rosa R16 Color Rose Tamaño Del Cuadro 16,1959.0,2886.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1VpYZE5
2025-12-05T20:15:05,Ultrabook Laptop T152a 15.6  Rosa 32gb De Ram - 1tb Ssd - Intel Celeron Auusda,6478.0,9670.0,33,⏰ Oferta del Día,https://mercadolibre.com/sec/189kSV2
2025-12-05T20:15:05,Bicicleta Para Niña Bicicleta Infantil Pale Rosa R16 Color Rose Tamaño Del Cuadro 16,1959.0,2886.0,32,🔥 Más Vendido,https://mercadolibre.com/sec/1VpYZE5
